Trial,Reaction_Time,Response,Coherence,Direction,Key_Pressed,Radius,Theta,X,Y
271,3.890076,True,0.33,left,LeftArrow,3.741392,108.7263,-1.201166,3.543334
272,0.9453735,True,0.33,down,DownArrow,2.856373,20.33509,2.678353,0.9926181
273,1.656311,False,0.33,down,RightArrow,3.63953,30.1927,3.145787,1.830356
274,2.465332,False,0.33,down,LeftArrow,2.486517,95.42645,-0.2351447,2.475373
275,2.367432,True,0.33,down,DownArrow,0.2001109,305.2102,0.1153796,-0.163499
276,3.721802,True,0.33,down,DownArrow,1.064706,126.0844,-0.6270859,0.8604425
277,0.9516602,True,0.33,left,LeftArrow,0.2463646,39.23123,0.190834,0.1558137
278,0.7665405,True,0.33,up,UpArrow,0.2428775,19.05158,0.2295739,0.07927988
279,2.589355,True,0.33,right,RightArrow,2.515017,76.66629,0.5800188,2.44722
280,0.9590454,False,0.33,down,UpArrow,0.3005562,4.24304,0.2997324,0.02223735
281,1.766907,True,0.33,down,DownArrow,2.090173,22.80324,1.926807,0.8100833
282,3.971985,True,0.33,down,DownArrow,0.9286547,85.98767,0.06497905,0.9263785
283,0.8118286,False,0.33,down,RightArrow,0.3352227,27.16035,0.2982585,0.1530232
284,0.5447998,True,0.33,left,LeftArrow,1.999264,118.5494,-0.9554814,1.756165
285,2.812378,True,0.33,left,LeftArrow,0.4504337,331.8857,0.3972866,-0.212259
286,0.7374878,True,0.33,right,RightArrow,0.6052518,119.2018,-0.2952946,0.5283283
287,2.156311,True,0.33,right,RightArrow,0.529707,296.2396,0.2341969,-0.4751224
288,1.830444,True,0.33,right,RightArrow,1.895487,266.9059,-0.1023118,-1.892724
289,0.8237305,True,0.33,up,UpArrow,1.108146,257.2531,-0.2445056,-1.080835
290,3.843872,True,0.33,right,RightArrow,3.623093,357.4192,3.619418,-0.1631443
291,5.877197,True,0.33,left,LeftArrow,0.2529249,282.6689,0.0554708,-0.2467671
292,5.954468,False,0.33,up,LeftArrow,3.593405,195.8009,-3.457624,-0.9784648
293,2.678589,False,0.33,up,RightArrow,2.548312,322.8947,2.032351,-1.53735
294,1.82251,True,0.33,right,RightArrow,3.608407,18.38206,3.424287,1.137918
295,0.9657593,False,0.33,right,LeftArrow,2.351336,256.7063,-0.5406718,-2.28833
296,2.778687,True,0.33,right,RightArrow,3.282218,207.0803,-2.922387,-1.494192
297,2.222168,True,0.33,right,RightArrow,1.610469,53.32399,0.9619158,1.291637
298,2.488464,True,0.33,down,DownArrow,0.0862689,271.0867,0.001636055,-0.08625339
