Trial,Reaction_Time,Response,Coherence,Direction,Radius,Theta,X,Y
292,0.8570557,False,0.5,right,1.061188,155.8663,-0.9684338,0.4338858
293,0.8773804,True,0.5,up,1.853528,186.268,-1.842448,-0.2023671
294,0.8043823,False,0.5,left,2.962092,344.7139,2.857298,-0.7809212
295,2.974182,True,0.5,up,2.442102,100.5287,-0.4462421,2.400985
296,2.566711,False,0.5,right,1.931919,97.51566,-0.2526894,1.915322
297,1.468323,True,0.5,up,0.3563704,21.84537,0.33078,0.1326065
298,1.414795,True,0.5,up,0.4236221,318.5529,0.3175335,-0.2804072
299,1.855652,True,0.5,down,3.845772,262.0441,-0.5322957,-3.808756
300,6.047058,True,0.5,down,2.742365,47.34245,1.858268,2.016782
301,0.9328003,False,0.5,right,1.319673,267.6584,-0.0539171,-1.318571
302,4.122498,True,0.5,down,2.718913,133.1654,-1.860028,1.983124
303,3.589539,True,0.5,down,0.001438618,12.28825,0.001405658,0.000306181
304,0.6040039,True,0.5,up,2.052431,171.6421,-2.030633,0.2983335
305,0.8467407,True,0.5,up,2.547503,170.7961,-2.514705,0.4074669
306,0.8106689,True,0.5,down,1.864315,303.0964,1.018008,-1.561836
307,1.091187,True,0.5,up,0.5347567,28.63222,0.4693632,0.2562476
308,2.088928,False,0.5,down,0.7076554,299.9044,0.3528041,-0.6134375
309,0.6442261,False,0.5,right,3.797887,209.6217,-3.301532,-1.877187
310,3.202026,True,0.5,right,1.90616,187.3676,-1.890422,-0.2444376
311,3.999878,False,0.5,down,0.8881035,95.74484,-0.08889779,0.883643
312,0.7001953,False,0.5,right,1.319225,165.788,-1.278848,0.3238832
313,2.398987,False,0.5,right,2.252788,224.0193,-1.619994,-1.565463
314,2.580017,True,0.5,down,1.021815,238.4377,-0.5348429,-0.8706596
315,5.133118,True,0.5,down,2.642917,87.32333,0.1234236,2.640033
316,3.627014,True,0.5,up,0.9579539,162.0657,-0.9114074,0.2949786
317,0.9674683,True,0.5,up,2.420446,302.0862,1.285727,-2.050723
318,3.455933,False,0.5,right,1.347149,359.9475,1.347148,-0.001235043
319,0.6821289,False,0.5,right,0.5215077,237.8297,-0.2776703,-0.4414403
320,0.7072144,False,0.5,left,1.369713,138.4891,-1.025682,0.9077941
321,2.32312,False,0.5,right,3.191329,182.4752,-3.188352,-0.1378214
322,5.858276,False,0.5,up,1.583153,340.1825,1.489394,-0.5367292
323,5.67981,False,0.5,left,0.3760238,60.39627,0.1857552,0.3269387
324,0.9069824,True,0.5,up,2.598143,322.925,2.072919,-1.566318
325,2.608093,False,0.5,up,0.3142099,347.4304,0.306679,-0.06838014
326,0.5765381,True,0.5,down,0.7231264,159.9351,-0.6792361,0.2480931
327,1.712463,False,0.5,left,3.145078,106.6774,-0.902585,3.012782
328,2.335205,True,0.5,up,3.394233,229.7948,-2.191067,-2.592305
329,5.233643,False,0.5,left,1.860815,214.0249,-1.542233,-1.041226
330,3.241333,True,0.5,up,3.169096,178.0659,-3.16729,0.1069585
331,2.791077,False,0.5,right,0.4644337,182.5322,-0.4639801,-0.02051942
332,2.277466,True,0.5,down,2.137364,240.2252,-1.0614,-1.855197
333,6.266724,False,0.5,left,1.749889,331.9061,1.543712,-0.8240532
334,2.78772,False,0.5,left,1.212807,254.9296,-0.3153367,-1.171095
335,1.897644,True,0.5,down,3.489481,203.6553,-3.196281,-1.400096
336,3.489136,False,0.5,right,3.37309,293.041,1.320195,-3.104001
337,4.351501,False,0.5,left,3.000371,138.2171,-2.237301,1.999178
338,2.799927,False,0.5,right,3.371149,261.0705,-0.523269,-3.330291
339,3.502075,False,0.5,right,0.827282,300.5511,0.4205126,-0.7124356
340,4.458618,False,0.5,left,0.0115366,115.0798,-0.004890126,0.01044891
341,1.991028,True,0.5,down,0.8924346,58.41637,0.467406,0.7602441
342,2.542236,False,0.5,left,1.577641,152.9415,-1.404956,0.71767
343,1.067932,True,0.5,down,3.110736,110.768,-1.103018,2.908614
344,1.123352,True,0.5,up,3.36259,50.01384,2.160809,2.576416
345,1.022278,True,0.5,up,3.978107,180.9306,-3.977583,-0.06461193
346,3.38147,True,0.5,up,0.3370924,170.6273,-0.3325922,0.0548976
347,0.8348999,False,0.5,right,3.118216,138.7566,-2.344635,2.055714
348,0.9700317,True,0.5,up,3.015603,214.5351,-2.48419,-1.709579
349,2.5224,False,0.5,left,0.6493359,230.3985,-0.413915,-0.5003113
350,0.5777588,True,0.5,up,0.422699,87.39104,0.01924092,0.4222609
351,0.6448975,False,0.5,right,3.26801,206.5572,-2.923197,-1.461097
352,4.800598,False,0.5,right,3.776636,25.10264,3.41993,1.602205
353,0.8378296,True,0.5,down,3.072714,76.31181,0.7271208,2.985442
354,0.8554077,False,0.5,left,0.4792438,110.8951,-0.1709263,0.4477262
355,0.6633911,True,0.5,up,2.628247,95.99191,-0.2743572,2.613888
356,2.809143,True,0.5,down,3.045111,215.3077,-2.484992,-1.759976
357,2.846985,True,0.5,up,1.94662,118.0554,-0.9155431,1.717879
358,0.9125366,True,0.5,up,0.1115217,306.5054,0.06634415,-0.08964122
359,0.6221313,False,0.5,left,1.467583,271.9739,0.05054903,-1.466712
360,1.772339,True,0.5,down,2.547916,280.2237,0.4522343,-2.507461
361,2.911804,False,0.5,left,2.47984,258.2439,-0.5052572,-2.427822
362,2.202698,True,0.5,down,0.5122738,90.02813,-0.0002514996,0.5122737
363,0.899353,True,0.5,up,1.26791,91.39159,-0.03079179,1.267536
364,1.165649,False,0.5,right,2.36876,281.5492,0.4742465,-2.3208
365,0.9550781,False,0.5,left,0.7215557,67.4882,0.2762647,0.6665737
366,1.067322,False,0.5,left,3.378905,281.0175,0.6457388,-3.316628
367,3.634583,True,0.5,up,1.225742,320.1663,0.941256,-0.7851629
368,0.8092041,True,0.5,up,2.880614,75.34888,0.7286014,2.786947
369,2.012939,True,0.5,up,2.193404,154.1382,-1.973732,0.9567671
370,1.351135,False,0.5,left,3.147271,24.95875,2.853353,1.32804
371,3.662659,False,0.5,left,1.992862,172.5943,-1.976238,0.2568673
372,3.526611,False,0.5,left,2.879462,255.7073,-0.7108683,-2.790335
373,2.345398,True,0.5,down,3.56514,213.2883,-2.980171,-1.956732
374,2.992126,False,0.5,down,3.169415,335.6799,2.888158,-1.305272
375,2.726135,False,0.5,left,2.169319,293.9645,0.8811148,-1.982317
376,1.500732,True,0.5,up,1.81003,336.6176,1.661384,-0.7183393
377,1.043823,True,0.5,up,3.897343,39.51576,3.006604,2.479842
378,1.130859,False,0.5,left,1.768863,345.4073,1.711802,-0.4456585
379,4.121948,True,0.5,down,1.765272,324.9402,1.444969,-1.014027
380,2.655884,False,0.5,right,2.790414,188.423,-2.760316,-0.4087387
381,9.177368,False,0.5,right,0.9245205,257.6905,-0.1971008,-0.903266
382,0.7894287,False,0.5,right,1.789602,126.4747,-1.06386,1.439054
383,0.8337402,False,0.5,left,2.31693,338.8182,2.160395,-0.8371716
384,0.7131348,True,0.5,down,0.09093189,4.147167,0.09069379,0.006576061
385,0.574707,False,0.5,left,3.215549,117.2992,-1.47477,2.857413
386,1.856689,False,0.5,right,2.510982,239.2162,-1.285119,-2.157197
387,1.767212,True,0.5,up,3.034054,270.052,0.002751754,-3.034053
388,2.178345,False,0.5,left,0.07555628,92.04459,-0.002695644,0.07550818
389,0.9855957,False,0.5,left,1.582866,149.6321,-1.365692,0.8002189
390,1.428589,True,0.5,up,2.381942,86.25435,0.1556061,2.376854
391,0.9589844,False,0.5,left,3.397979,223.3217,-2.472075,-2.331332
392,1.963257,True,0.5,up,1.303599,151.4087,-1.144632,0.6238492
393,2.488892,True,0.5,down,0.1259789,248.6739,-0.04581545,-0.1173526
394,0.9779053,True,0.5,down,1.811877,297.6735,0.8414946,-1.604614
395,0.7119141,True,0.5,up,2.709447,299.7276,1.343554,-2.352863
396,5.501709,True,0.5,down,2.318097,50.67131,1.469136,1.793101
397,1.133545,False,0.5,right,2.881608,308.6105,1.79819,-2.251704
398,2.234131,True,0.5,down,2.732436,174.2773,-2.718817,0.2724638
399,4.200195,True,0.5,down,3.958945,157.47,-3.656794,1.516939
400,6.156128,False,0.5,down,2.988561,292.841,1.160084,-2.754215
401,1.999634,True,0.5,up,3.43094,33.25776,2.868993,1.88155
402,0.9407959,False,0.5,right,0.03052855,250.6974,-0.01009145,-0.02881241
403,1.856323,False,0.5,right,0.2424278,357.23,0.2421446,-0.01171559
404,0.7445068,False,0.5,left,2.83198,296.0721,1.244661,-2.543802
405,5.786499,True,0.5,down,0.1819077,126.0617,-0.1070811,0.1470512
406,0.9637451,True,0.5,down,0.8565197,108.0694,-0.265665,0.8142776
407,0.5672607,False,0.5,right,2.476093,36.83239,1.981846,1.484359
408,1.433472,False,0.5,left,0.1046615,12.07183,0.102347,0.02188867
409,0.5526123,False,0.5,right,2.793546,42.79754,2.04979,1.897963
410,0.7449951,True,0.5,up,3.866137,296.0362,1.696999,-3.473788
411,2.710327,True,0.5,up,2.470655,33.02546,2.071468,1.346536
412,0.6904297,False,0.5,left,1.148708,346.1381,1.115253,-0.2752101
413,0.8773193,True,0.5,down,0.7635527,274.9422,0.06578084,-0.7607139
414,1.521729,True,0.5,down,2.064193,348.6519,2.023838,-0.4061719
415,3.884521,True,0.5,right,0.02389574,167.8487,-0.02336036,0.005029908
416,0.6558838,False,0.5,left,2.356283,213.17,-1.972329,-1.289182
417,3.010498,False,0.5,left,2.626916,41.57119,1.965279,1.743091
418,0.6330566,False,0.5,right,1.130766,102.0032,-0.2351609,1.106043
419,1.149902,False,0.5,left,3.013929,281.7015,0.6112643,-2.951292
420,2.548096,False,0.5,right,0.4863887,114.4516,-0.2013282,0.4427651
421,0.7347412,False,0.5,right,1.608711,280.2338,0.2858118,-1.583119
422,0.8120117,False,0.5,right,3.760375,237.0568,-2.044921,-3.155743
423,1.955811,False,0.5,left,0.4771314,153.6292,-0.4274804,0.2119313
424,0.8233643,False,0.5,right,3.233768,87.92809,0.1169128,3.231653
425,1.544678,False,0.5,left,1.700077,332.5992,1.509344,-0.7823969
426,0.7659912,True,0.5,up,2.101374,301.3286,1.0926,-1.794993
427,0.744873,True,0.5,up,0.1130052,64.67107,0.04834523,0.1021416
428,0.5666504,True,0.5,down,3.368923,172.3277,-3.338764,0.4497754
429,0.69104,False,0.5,left,2.555381,332.8674,2.274171,-1.165384
430,0.9780273,False,0.5,left,0.4107876,296.3662,0.1824338,-0.3680548
431,0.6342773,False,0.5,left,0.2372398,203.3137,-0.2178696,-0.09389138
432,0.496582,True,0.5,up,1.928439,126.922,-1.158465,1.541699
433,0.8112793,True,0.5,up,3.619121,80.29971,0.6098012,3.567377
434,0.9862061,False,0.5,left,0.2047997,104.79,-0.05228057,0.1980142
435,0.8084717,False,0.5,left,1.695087,228.4572,-1.124147,-1.268705
436,0.6911621,True,0.5,up,3.517001,76.77045,0.8048764,3.423663
437,0.7781982,True,0.5,up,0.1883912,324.4842,0.153342,-0.1094416
438,0.5235596,False,0.5,right,3.477346,82.51153,0.4531911,3.447688
439,1.246582,True,0.5,up,1.205767,324.6195,0.9830914,-0.6981441
440,0.6016846,True,0.5,down,1.179001,107.6725,-0.3579165,1.123361
441,0.8999023,True,0.5,up,2.796138,319.2668,2.118792,-1.824585
442,7.835571,False,0.5,left,1.883978,245.7152,-0.7748274,-1.71727
443,1.63501,False,0.5,right,2.17357,232.4391,-1.325019,-1.723001
444,2.257324,False,0.5,right,1.623523,203.2042,-1.49219,-0.6396837
445,4.424194,False,0.5,left,1.511975,286.1981,0.4217792,-1.451954
446,2.174805,True,0.5,down,3.911078,79.92918,0.6839117,3.850818
447,5.392334,True,0.5,up,0.1992927,204.7198,-0.1810303,-0.08334032
448,0.6447754,False,0.5,left,2.08862,305.8615,1.223571,-1.692692
449,1.056763,True,0.5,down,3.387616,166.9141,-3.299646,0.7669933
450,4.479492,False,0.5,down,0.06797838,98.61288,-0.01018028,0.06721177
451,0.932373,True,0.5,down,1.951402,359.692,1.951374,-0.01049008
452,0.7106934,False,0.5,left,1.772833,9.372797,1.749165,0.2887191
453,0.5839844,True,0.5,up,3.675323,278.8648,0.5663777,-3.631421
454,1.688965,False,0.5,right,3.412438,48.60064,2.256657,2.559733
455,5.068115,False,0.5,down,1.067293,53.01852,0.6420375,0.8525856
456,1.010376,False,0.5,left,0.5169725,323.7849,0.4170955,-0.3054373
457,0.6904297,False,0.5,left,0.7566643,237.2539,-0.4092925,-0.6364121
458,2.289795,False,0.5,left,3.151701,180.5252,-3.151569,-0.02888837
459,1.033813,False,0.5,right,3.437239,45.37066,2.414721,2.446168
460,0.9310303,True,0.5,up,1.476096,55.57323,0.8345148,1.217557
461,0.779541,True,0.5,up,3.931047,49.45419,2.5554,2.987149
462,1.713867,True,0.5,down,2.750379,165.8215,-2.666595,0.6736869
463,1.877686,False,0.5,right,3.049092,155.6869,-2.778666,1.255379
464,1.512085,True,0.5,down,2.511221,55.47932,1.423118,2.06905
465,0.9445801,True,0.5,up,0.6581216,251.5376,-0.2084155,-0.6242492
466,0.9223633,False,0.5,left,3.171421,197.7731,-3.020058,-0.9680691
467,2.221069,True,0.5,up,0.6288848,189.3615,-0.620509,-0.1022966
468,0.645874,True,0.5,up,3.173889,293.744,1.277968,-2.905231
469,3.899536,True,0.5,down,3.361315,117.9359,-1.57472,2.969629
470,2.567383,True,0.5,up,3.810824,21.78134,3.538757,1.414065
471,1.344116,False,0.5,left,3.829397,356.8537,3.823625,-0.2101793
472,1.068726,True,0.5,up,3.774648,32.69711,3.17651,2.039057
473,0.8344727,True,0.5,up,1.08885,114.522,-0.4519189,0.9906383
474,0.7115479,True,0.5,down,1.862935,40.69473,1.412467,1.214687
475,0.9903564,True,0.5,up,3.214347,228.7545,-2.119177,-2.41684
476,3.146729,True,0.5,down,3.057507,259.8193,-0.5404225,-3.009367
477,2.433594,True,0.5,up,1.217326,345.0856,1.176317,-0.3133095
478,0.7775879,False,0.5,right,3.174701,299.6554,1.570784,-2.758869
479,1.134155,False,0.5,right,1.011171,195.8423,-0.9727636,-0.2760397
480,0.5686035,True,0.5,up,1.323606,23.10974,1.217393,0.5195067
481,0.765625,True,0.5,down,3.938106,83.08651,0.474032,3.909472
482,1.544678,False,0.5,left,0.1842175,241.5549,-0.08774577,-0.1619776
483,0.8331299,False,0.5,right,2.596613,319.4672,1.973514,-1.687496
484,2.51062,False,0.5,left,0.5040112,347.0674,0.4912264,-0.1128003
485,0.8775635,True,0.5,up,2.611803,114.5519,-1.085249,2.375658
486,8.356201,True,0.5,down,2.058812,4.044857,2.053684,0.1452233
487,2.78894,False,0.5,right,2.223154,238.3849,-1.1654,-1.893213
488,5.000244,True,0.5,up,2.098086,51.22955,1.313825,1.635796
489,2.989868,True,0.5,down,0.886992,183.928,-0.8849084,-0.06076177
490,3.231812,False,0.5,right,3.085176,308.0073,1.899735,-2.430909
491,3.011108,True,0.5,up,2.957016,356.6969,2.952104,-0.1703773
492,1.445557,False,0.5,right,3.933075,357.6465,3.929757,-0.1615115
493,0.7779541,False,0.5,left,0.3418531,328.8427,0.2925407,-0.1768714
494,0.9848633,False,0.5,left,3.794866,3.747625,3.786751,0.2480392
495,2.667114,True,0.5,left,1.815353,205.9563,-1.632236,-0.7945524
496,2.436157,True,0.5,up,2.659916,308.0539,1.639577,-2.094502
497,3.269043,True,0.5,up,0.6385746,139.2216,-0.4835554,0.4170752
498,0.7241211,True,0.5,up,2.637217,49.97475,1.696061,2.019478
